user_id,age,country,platform,daily_usage_minutes,content_type,engagement_score,mental_fatigue_level,date
1,54,UK,Instagram,253,Reels,0.79,9,2023-01-01 00:00:00
2,44,Germany,Instagram,205,Reels,7.46,7,2023-01-01 01:00:00
3,30,UK,X,63,Live,2.86,6,2023-01-01 02:00:00
4,58,Australia,YouTube,144,Live,4.0,1,2023-01-01 03:00:00
5,23,USA,YouTube,123,Shorts,8.32,9,2023-01-01 04:00:00
6,36,Pakistan,YouTube,45,Live,1.59,10,2023-01-01 05:00:00
7,54,Australia,TikTok,326,Live,8.44,5,2023-01-01 06:00:00
8,34,Canada,TikTok,335,Reels,6.58,2,2023-01-01 07:00:00
9,38,UK,Facebook,271,Shorts,3.75,8,2023-01-01 08:00:00
10,26,UK,TikTok,12,Live,1.62,4,2023-01-01 09:00:00
11,26,India,TikTok,187,Shorts,1.37,3,2023-01-01 10:00:00
12,39,USA,TikTok,138,Posts,3.69,1,2023-01-01 11:00:00
13,51,Canada,X,185,Reels,1.83,5,2023-01-01 12:00:00
14,55,Pakistan,TikTok,359,Reels,3.04,3,2023-01-01 13:00:00
15,39,UK,Instagram,76,Reels,1.0,4,2023-01-01 14:00:00
16,18,UK,Instagram,117,Stories,6.15,9,2023-01-01 15:00:00
17,37,Canada,Facebook,111,Shorts,1.88,7,2023-01-01 16:00:00
18,17,Australia,X,294,Posts,7.69,5,2023-01-01 17:00:00
19,39,Australia,Instagram,317,Live,2.57,8,2023-01-01 18:00:00
20,59,USA,X,121,Posts,8.08,6,2023-01-01 19:00:00
21,45,Brazil,X,124,Shorts,2.3,10,2023-01-01 20:00:00
22,53,India,Facebook,151,Reels,7.35,2,2023-01-01 21:00:00
23,17,UK,X,331,Stories,3.66,7,2023-01-01 22:00:00
24,36,Brazil,TikTok,214,Shorts,6.04,1,2023-01-01 23:00:00
25,48,Brazil,X,300,Shorts,0.87,3,2023-01-02 00:00:00
26,27,India,Facebook,107,Live,5.2,1,2023-01-02 01:00:00
27,37,Brazil,Facebook,128,Posts,1.91,1,2023-01-02 02:00:00
28,59,Brazil,Facebook,249,Posts,5.12,5,2023-01-02 03:00:00
29,40,Australia,Instagram,213,Live,1.84,6,2023-01-02 04:00:00
30,64,Australia,TikTok,318,Stories,4.65,3,2023-01-02 05:00:00
31,42,Germany,Instagram,113,Reels,1.55,3,2023-01-02 06:00:00
32,57,Pakistan,YouTube,352,Reels,2.59,3,2023-01-02 07:00:00
33,43,USA,TikTok,54,Stories,6.15,1,2023-01-02 08:00:00
34,31,Brazil,X,109,Live,9.78,5,2023-01-02 09:00:00
35,30,Germany,Facebook,31,Shorts,4.77,1,2023-01-02 10:00:00
